,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SAD!,XXXTENTACION,6439012,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
2,Moonlight,XXXTENTACION,4603507,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
3,"Jocelyn Flores",XXXTENTACION,4495649,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
4,"Better Now","Post Malone",4102979,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,changes,XXXTENTACION,3980372,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
6,"One Kiss (with Dua Lipa)","Calvin Harris",3921331,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
7,"Lucid Dreams","Juice WRLD",3906426,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
8,"Girls Like You (feat. Cardi B)","Maroon 5",3888904,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
9,"I Like It","Cardi B",3831521,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Solo (feat. Demi Lovato)","Clean Bandit",3249993,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
11,"Back To You","Selena Gomez",3189974,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
12,Youngblood,"5 Seconds of Summer",3150598,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
13,"no tears left to cry","Ariana Grande",3063521,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
14,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,2994256,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
15,"Taste (feat. Offset)",Tyga,2747867,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Te Boté - Remix","Nio Garcia",2704781,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
17,X,"Nicky Jam",2608358,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
18,"Jackie Chan",Tiësto,2606424,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
19,"Nice For What",Drake,2594471,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
20,"Everybody Dies In Their Nightmares",XXXTENTACION,2564737,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
21,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,2493451,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
22,"God's Plan",Drake,2422345,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
23,"Ocean (feat. Khalid)","Martin Garrix",2240280,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
24,"Psycho (feat. Ty Dolla $ign)","Post Malone",2223527,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
25,"Bed (feat. Ariana Grande)","Nicki Minaj",2121179,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
26,Flames,"David Guetta",2048283,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
27,"All Mine","Kanye West",2044927,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
28,FRIENDS,Marshmello,1972531,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
29,"Sin Pijama","Becky G",1965294,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
30,"lovely (with Khalid)","Billie Eilish",1925486,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
31,Nevermind,"Dennis Lloyd",1919597,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
32,"Born To Be Yours",Kygo,1904968,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
33,"I'm Upset",Drake,1902702,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
34,"rockstar (feat. 21 Savage)","Post Malone",1886553,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
35,"Look At Me!",XXXTENTACION,1823149,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
36,"Yes Indeed","Lil Baby",1802597,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
37,2002,Anne-Marie,1772825,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
38,Hope,XXXTENTACION,1758069,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
39,NUMB,XXXTENTACION,1724133,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
40,"Praise The Lord (Da Shine)","A$AP Rocky",1700007,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
41,"Look Alive (feat. Drake)","BlocBoy JB",1659957,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
