,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"This Is America","Childish Gambino",1641186,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
2,"Nice For What",Drake,1637088,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
3,"Yes Indeed","Lil Baby",1576520,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
4,"Better Now","Post Malone",1498141,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"Psycho (feat. Ty Dolla $ign)","Post Malone",1257574,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
6,"God's Plan",Drake,1145450,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Look Alive (feat. Drake)","BlocBoy JB",1017875,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
8,"I Like It","Cardi B",1014784,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"rockstar (feat. 21 Savage)","Post Malone",884297,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
10,Paranoid,"Post Malone",879796,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
11,"Lucid Dreams","Juice WRLD",879295,https://open.spotify.com/track/32iYwQ4OYiurnGnOfJ1aEh
12,"Ball For Me (feat. Nicki Minaj)","Post Malone",836137,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
13,"Walk It Talk It",Migos,801947,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
14,"Plug Walk","Rich The Kid",782000,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,SAD!,XXXTENTACION,769014,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,"Spoil My Night (feat. Swae Lee)","Post Malone",761035,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
17,Stay,"Post Malone",747264,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
18,"Rich & Sad","Post Malone",729531,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
19,"no tears left to cry","Ariana Grande",727767,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
20,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",725667,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
