,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,4283237,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,1691595,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
3,"Lucid Dreams","Juice WRLD",1672482,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
4,SAD!,XXXTENTACION,1348911,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
5,"God is a woman","Ariana Grande",1333064,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
6,"Don’t Matter To Me",Drake,1286112,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
7,"Taste (feat. Offset)",Tyga,1264686,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
8,"I Like It","Cardi B",1225440,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,Moonlight,XXXTENTACION,1107908,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
10,"Nice For What",Drake,1101061,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
11,"Girls Like You (feat. Cardi B)","Maroon 5",1064423,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
12,"Better Now","Post Malone",1010426,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
13,"Yes Indeed","Lil Baby",985916,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
14,"I'm Upset",Drake,983651,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
15,"Summertime Magic","Childish Gambino",951933,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
16,"God's Plan",Drake,926868,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
17,"Mob Ties",Drake,810450,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
18,"Psycho (feat. Ty Dolla $ign)","Post Malone",711493,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
19,"Jackie Chan",Tiësto,695946,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
20,Youngblood,"5 Seconds of Summer",693651,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
21,"All Girls Are The Same","Juice WRLD",668484,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
22,APESHIT,"The Carters",659994,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
23,"Jocelyn Flores",XXXTENTACION,659917,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
24,"Look Alive (feat. Drake)","BlocBoy JB",654955,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
25,"Ocean (feat. Khalid)","Martin Garrix",650934,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
26,changes,XXXTENTACION,638602,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
27,"Boo'd Up","Ella Mai",626247,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
28,"Bed (feat. Ariana Grande)","Nicki Minaj",590239,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
29,"no tears left to cry","Ariana Grande",573763,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
30,"All Mine","Kanye West",564059,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
31,"Eastside (with Halsey & Khalid)","benny blanco",563282,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
32,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,559946,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
33,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",557433,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
34,Emotionless,Drake,556620,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
35,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",548862,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
36,"rockstar (feat. 21 Savage)","Post Malone",543095,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
37,"Praise The Lord (Da Shine)","A$AP Rocky",538945,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
38,"Back To You","Selena Gomez",519171,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
