,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"SICKO MODE","Travis Scott",2498624,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
2,"In My Feelings",Drake,2300370,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1927747,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,STARGAZING,"Travis Scott",1798546,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
5,"Lucid Dreams","Juice WRLD",1446689,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"No Brainer","DJ Khaled",1185771,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
7,SAD!,XXXTENTACION,1095515,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,CAROUSEL,"Travis Scott",1073263,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
9,"Eastside (with Halsey & Khalid)","benny blanco",1071306,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
10,YOSEMITE,"Travis Scott",1043875,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
11,"Taste (feat. Offset)",Tyga,1037758,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"I Like It","Cardi B",1023184,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
13,"WAKE UP","Travis Scott",986148,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
14,Nonstop,Drake,969721,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
15,"Better Now","Post Malone",942721,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,"R.I.P. SCREW","Travis Scott",933524,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
17,"Girls Like You (feat. Cardi B)","Maroon 5",928264,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,Moonlight,XXXTENTACION,924638,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
19,"NO BYSTANDERS","Travis Scott",920419,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
20,"CAN'T SAY","Travis Scott",885588,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
21,"5% TINT","Travis Scott",873094,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
22,"STOP TRYING TO BE GOD","Travis Scott",865138,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
23,"Yes Indeed","Lil Baby",795624,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
24,"God is a woman","Ariana Grande",794358,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
25,NC-17,"Travis Scott",784242,https://open.spotify.com/track/6BJbOXDlgVAXSaq6wYFYT2
26,"BUTTERFLY EFFECT","Travis Scott",773684,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
27,"WHO? WHAT!","Travis Scott",757431,https://open.spotify.com/track/4KYS9GK68yeuUJ8vJfPxrq
28,"Nice For What",Drake,738252,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
29,SKELETONS,"Travis Scott",712209,https://open.spotify.com/track/6NMtzpDQBTOfJwMzgMX0zl
30,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,707513,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
31,ASTROTHUNDER,"Travis Scott",707448,https://open.spotify.com/track/4MXhiYIRDMGAuvZc5IFTwC
32,HOUSTONFORNICATION,"Travis Scott",687506,https://open.spotify.com/track/58TaFP5j5i9swOf584yon2
33,"God's Plan",Drake,679106,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
34,Youngblood,"5 Seconds of Summer",673866,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
35,"Psycho (feat. Ty Dolla $ign)","Post Malone",659072,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
36,"All Girls Are The Same","Juice WRLD",613088,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
37,"Body (feat. brando)","Loud Luxury",606021,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
38,"Jocelyn Flores",XXXTENTACION,604676,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
39,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",580486,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
40,"Jackie Chan",Tiësto,578900,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
41,"I'm Upset",Drake,551802,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
42,changes,XXXTENTACION,548758,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
43,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,543265,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
44,"Look Alive (feat. Drake)","BlocBoy JB",541318,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
45,SWISH,Tyga,539663,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
46,"Don’t Matter To Me (with Michael Jackson)",Drake,536658,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
47,"rockstar (feat. 21 Savage)","Post Malone",520417,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
48,"Happy Now",Zedd,516871,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
49,"Beautiful (feat. Camila Cabello)",Bazzi,508798,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
50,"COFFEE BEAN","Travis Scott",506668,https://open.spotify.com/track/6vnfObZ4Ys70SBAtti1xZ9
51,"Praise The Lord (Da Shine)","A$AP Rocky",502469,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
52,"Mob Ties",Drake,445763,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
53,Rise,"Jonas Blue",443981,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
54,"In My Mind",Dynoro,439743,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
55,"I Fall Apart","Post Malone",436794,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
56,"Ball For Me (feat. Nicki Minaj)","Post Malone",432150,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
57,"Te Boté - Remix","Nio Garcia",427889,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
58,"Boo'd Up","Ella Mai",420613,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
59,"you should see me in a crown","Billie Eilish",414962,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
60,"Lean Wit Me","Juice WRLD",405157,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
61,"Ocean (feat. Khalid)","Martin Garrix",398085,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
62,"Solo (feat. Demi Lovato)","Clean Bandit",396870,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
63,"Everybody Dies In Their Nightmares",XXXTENTACION,396151,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
64,"High Hopes","Panic! At The Disco",392724,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
65,"Taking A Walk","Trippie Redd",391278,https://open.spotify.com/track/6ArSQdZWckNt208EzsgUM5
66,"no tears left to cry","Ariana Grande",388419,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
67,"Plug Walk","Rich The Kid",384614,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
68,"Love Lies (with Normani)",Khalid,378955,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
69,"lovely (with Khalid)","Billie Eilish",374223,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
