,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SAD!,XXXTENTACION,2168559,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
2,"Lucid Dreams","Juice WRLD",1927002,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
3,Moonlight,XXXTENTACION,1765010,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
4,"Jocelyn Flores",XXXTENTACION,1356241,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
5,"I Like It","Cardi B",1297631,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
6,"Better Now","Post Malone",1172372,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
7,changes,XXXTENTACION,1158795,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
8,"Yes Indeed","Lil Baby",1133188,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
9,"Nice For What",Drake,1114476,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
10,"Girls Like You (feat. Cardi B)","Maroon 5",1084957,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
11,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1084766,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
12,"Taste (feat. Offset)",Tyga,1073941,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,"I'm Upset",Drake,958079,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
14,"Psycho (feat. Ty Dolla $ign)","Post Malone",929673,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
15,"All Mine","Kanye West",912743,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
16,"Everybody Dies In Their Nightmares",XXXTENTACION,861806,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
17,"Look Alive (feat. Drake)","BlocBoy JB",830469,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
18,"God's Plan",Drake,827476,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
19,"All Girls Are The Same","Juice WRLD",826156,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
