,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",2592085,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",2196798,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
3,"Nice For What",Drake,2007645,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
4,Paranoid,"Post Malone",1900946,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
5,Stay,"Post Malone",1655115,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
6,"Rich & Sad","Post Malone",1633673,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
7,"Spoil My Night (feat. Swae Lee)","Post Malone",1606204,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
8,"Ball For Me (feat. Nicki Minaj)","Post Malone",1473735,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
9,"rockstar (feat. 21 Savage)","Post Malone",1464374,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
10,"God's Plan",Drake,1428211,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
11,"Over Now","Post Malone",1415507,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
12,"Zack And Codeine","Post Malone",1368589,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
13,"Takin' Shots","Post Malone",1280541,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
14,"Same Bitches (feat. G-Eazy & YG)","Post Malone",1266203,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
15,"92 Explorer","Post Malone",1250907,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
16,"Candy Paint","Post Malone",1218135,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
17,"I Like It","Cardi B",1160933,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
18,KOD,"J. Cole",1158179,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
19,"Look Alive (feat. Drake)","BlocBoy JB",1147051,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
20,Otherside,"Post Malone",1120247,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
21,"Blame It On Me","Post Malone",1059633,https://open.spotify.com/track/1ZemPoaj7LBj1RAQrb89EC
22,"no tears left to cry","Ariana Grande",1030358,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
23,SAD!,XXXTENTACION,1012386,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
