,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,4142467,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,2104977,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
3,"Lucid Dreams","Juice WRLD",1875773,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Don’t Matter To Me",Drake,1766873,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
5,SAD!,XXXTENTACION,1618503,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"I'm Upset",Drake,1395924,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Nice For What",Drake,1347044,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
8,Moonlight,XXXTENTACION,1274910,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
9,"I Like It","Cardi B",1260823,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Taste (feat. Offset)",Tyga,1217581,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
11,"Mob Ties",Drake,1154511,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
12,"God's Plan",Drake,1151221,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
13,"Yes Indeed","Lil Baby",1118724,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
14,"Girls Like You (feat. Cardi B)","Maroon 5",1116273,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
15,"Better Now","Post Malone",1110186,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,Emotionless,Drake,998701,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
17,Elevate,Drake,837544,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
18,"Can’t Take A Joke",Drake,815482,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
19,"Psycho (feat. Ty Dolla $ign)","Post Malone",795359,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
20,"Jocelyn Flores",XXXTENTACION,779325,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
