,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",2348694,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",2095463,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
3,"Nice For What",Drake,2073450,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",2033101,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
5,Paranoid,"Post Malone",1699351,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
6,Stay,"Post Malone",1518825,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
7,"God's Plan",Drake,1475718,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
8,"Rich & Sad","Post Malone",1464122,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
9,"Spoil My Night (feat. Swae Lee)","Post Malone",1432510,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
10,"rockstar (feat. 21 Savage)","Post Malone",1378793,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
11,"Ball For Me (feat. Nicki Minaj)","Post Malone",1308738,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
12,"Look Alive (feat. Drake)","BlocBoy JB",1246956,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
13,"Over Now","Post Malone",1245617,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
14,"Zack And Codeine","Post Malone",1209402,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
15,"I Like It","Cardi B",1178630,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
16,"Takin' Shots","Post Malone",1136166,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
17,"Same Bitches (feat. G-Eazy & YG)","Post Malone",1135972,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
18,"Candy Paint","Post Malone",1134040,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
19,"92 Explorer","Post Malone",1128722,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
20,KOD,"J. Cole",1103794,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
