,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,4132499,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,"Lucid Dreams","Juice WRLD",1831726,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
3,Nonstop,Drake,1664321,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
4,"God is a woman","Ariana Grande",1491405,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
5,SAD!,XXXTENTACION,1461551,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"Taste (feat. Offset)",Tyga,1360103,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
7,"Don’t Matter To Me",Drake,1343774,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
8,"I Like It","Cardi B",1300538,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"Girls Like You (feat. Cardi B)","Maroon 5",1229619,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
10,Moonlight,XXXTENTACION,1171314,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
11,"Better Now","Post Malone",1113239,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
12,"Nice For What",Drake,1095610,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
13,"Yes Indeed","Lil Baby",1020763,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
14,"Summertime Magic","Childish Gambino",1018141,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
15,"I'm Upset",Drake,973079,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
16,"God's Plan",Drake,937659,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
17,Youngblood,"5 Seconds of Summer",834156,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
18,"Jackie Chan",Tiësto,803588,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
19,"Mob Ties",Drake,792591,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
20,"Psycho (feat. Ty Dolla $ign)","Post Malone",766239,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
21,"Ocean (feat. Khalid)","Martin Garrix",750041,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
22,"Eastside (with Halsey & Khalid)","benny blanco",739228,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
23,"Jocelyn Flores",XXXTENTACION,716028,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
24,"All Girls Are The Same","Juice WRLD",704652,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
25,changes,XXXTENTACION,697773,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
26,"Bed (feat. Ariana Grande)","Nicki Minaj",679493,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
27,APESHIT,"The Carters",679196,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
28,"Boo'd Up","Ella Mai",676164,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
29,"Look Alive (feat. Drake)","BlocBoy JB",663844,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
30,"no tears left to cry","Ariana Grande",644250,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
31,"All Mine","Kanye West",622380,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
32,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,610630,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
33,"Back To You","Selena Gomez",607740,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
34,"One Kiss (with Dua Lipa)","Calvin Harris",604666,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
35,"rockstar (feat. 21 Savage)","Post Malone",591259,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
36,"Praise The Lord (Da Shine)","A$AP Rocky",568659,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
37,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",563145,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
38,"Solo (feat. Demi Lovato)","Clean Bandit",544221,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
39,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",534035,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
40,Emotionless,Drake,532352,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
41,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,517399,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
42,Body,"Loud Luxury",515893,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
43,"lovely (with Khalid)","Billie Eilish",514265,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
44,"Can’t Take A Joke",Drake,497268,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
45,"Ball For Me (feat. Nicki Minaj)","Post Malone",496600,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
46,Elevate,Drake,492826,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
47,"Plug Walk","Rich The Kid",482879,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
48,"Fr Fr (feat. Lil Skies)","Wiz Khalifa",477328,https://open.spotify.com/track/1RagpNpkD3KcjXMLGMe99V
49,"Everybody Dies In Their Nightmares",XXXTENTACION,476358,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
50,"Te Boté - Remix","Nio Garcia",470348,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
51,"This Is America","Childish Gambino",468800,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
52,"High Hopes","Panic! At The Disco",465212,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
53,"Born To Be Yours",Kygo,460389,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
54,"I Fall Apart","Post Malone",450757,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
55,"Ric Flair Drip (& Metro Boomin)",Offset,448722,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
56,Rise,"Jonas Blue",444034,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
57,JAPAN,"Famous Dex",435329,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
58,"Walk It Talk It",Migos,434769,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
59,"Love Lies (with Normani)",Khalid,426024,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
60,Tequila,"Dan + Shay",412050,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
61,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,404236,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
