,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,SAD!,XXXTENTACION,5123381,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
2,"Lucid Dreams","Juice WRLD",3856757,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
3,"Girls Like You (feat. Cardi B)","Maroon 5",3816500,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
4,Moonlight,XXXTENTACION,3783200,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
5,"Better Now","Post Malone",3774987,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"I Like It","Cardi B",3686016,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
7,"One Kiss (with Dua Lipa)","Calvin Harris",3650319,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
8,"Jocelyn Flores",XXXTENTACION,3425164,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
9,"Solo (feat. Demi Lovato)","Clean Bandit",3213059,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
10,changes,XXXTENTACION,3109817,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
11,"Back To You","Selena Gomez",3065737,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
12,"no tears left to cry","Ariana Grande",2884695,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
13,Youngblood,"5 Seconds of Summer",2873660,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
14,"Taste (feat. Offset)",Tyga,2725306,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
15,"Jackie Chan",Tiësto,2541781,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
16,"Te Boté - Remix","Nio Garcia",2424280,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
17,"Ocean (feat. Khalid)","Martin Garrix",2398428,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
18,"Nice For What",Drake,2367146,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
19,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,2262842,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
20,X,"Nicky Jam",2258971,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
21,"God's Plan",Drake,2202562,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
22,"Bed (feat. Ariana Grande)","Nicki Minaj",2150709,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
23,"Psycho (feat. Ty Dolla $ign)","Post Malone",2061446,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
24,"Born To Be Yours",Kygo,1974586,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
25,"Everybody Dies In Their Nightmares",XXXTENTACION,1922337,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
26,Flames,"David Guetta",1878342,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
27,"Sin Pijama","Becky G",1877773,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
28,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,1854473,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
29,Nevermind,"Dennis Lloyd",1814415,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
30,"All Mine","Kanye West",1806274,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
31,FRIENDS,Marshmello,1784198,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
32,"lovely (with Khalid)","Billie Eilish",1744755,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
33,2002,Anne-Marie,1740665,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
34,"rockstar (feat. 21 Savage)","Post Malone",1730663,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
35,Rise,"Jonas Blue",1705565,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
36,"I'm Upset",Drake,1659553,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
37,"Yes Indeed","Lil Baby",1589315,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
38,"The Middle",Zedd,1554997,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
39,"Praise The Lord (Da Shine)","A$AP Rocky",1553136,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
40,"Look At Me!",XXXTENTACION,1543321,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
41,"Look Alive (feat. Drake)","BlocBoy JB",1531609,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
42,"Start Again (feat. Logic)",OneRepublic,1455985,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
43,IDGAF,"Dua Lipa",1406930,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
44,"This Is America","Childish Gambino",1395702,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
45,Hope,XXXTENTACION,1374868,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
46,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1372642,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
47,"Me Niego",Reik,1366404,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
48,OTW,Khalid,1313885,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
49,"All Girls Are The Same","Juice WRLD",1305870,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
50,NUMB,XXXTENTACION,1267577,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
51,Havana,"Camila Cabello",1250417,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
52,"Love Lies (with Normani)",Khalid,1221782,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
53,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1188933,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
54,APESHIT,"The Carters",1186777,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
55,"La Cintura","Alvaro Soler",1183067,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
56,"Shape of You","Ed Sheeran",1168373,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
57,"Dura - Remix","Daddy Yankee",1160535,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
58,"In My Blood","Shawn Mendes",1147696,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
59,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1127203,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
60,Mine,Bazzi,1113835,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
61,"Playinwitme (feat. Kehlani)",KYLE,1092205,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
62,"La Player (Bandolera)","Zion & Lennox",1082500,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
63,"New Rules","Dua Lipa",1063833,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
64,Somebody,"The Chainsmokers",1044304,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
65,"Freaky Friday (feat. Chris Brown)","Lil Dicky",1034879,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
66,"New Light","John Mayer",1033608,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
67,"Call Out My Name","The Weeknd",1022974,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
68,"Mi Cama","Karol G",1021252,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
69,"All The Stars (with SZA)","Kendrick Lamar",999391,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
70,Body,"Loud Luxury",998948,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
71,"Ball For Me (feat. Nicki Minaj)","Post Malone",983458,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
72,"Walk It Talk It",Migos,966839,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
73,"Síguelo Bailando",Ozuna,959387,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
74,Believer,"Imagine Dragons",954958,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
75,"Madura (feat. Bad Bunny)",Cosculluela,950946,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
76,"Plug Walk","Rich The Kid",948801,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
77,"DDU-DU DDU-DU",BLACKPINK,947772,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB
78,Perfect,"Ed Sheeran",946435,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
79,"Audio - with Sia, Diplo & Labrinth",Sia,946007,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
80,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",935179,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
81,"I'll Be There","Jess Glynne",922127,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
82,"I Fall Apart","Post Malone",900508,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
