,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"This Is America","Childish Gambino",2170856,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
2,"Nice For What",Drake,1806983,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
3,"Better Now","Post Malone",1700080,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
4,"Psycho (feat. Ty Dolla $ign)","Post Malone",1438751,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
5,"God's Plan",Drake,1240738,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"Look Alive (feat. Drake)","BlocBoy JB",1134081,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
7,Paranoid,"Post Malone",1067746,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
8,"I Like It","Cardi B",1013575,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"rockstar (feat. 21 Savage)","Post Malone",981446,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
10,"Spoil My Night (feat. Swae Lee)","Post Malone",934265,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
11,Stay,"Post Malone",917106,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
12,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",907731,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
13,"no tears left to cry","Ariana Grande",903194,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
14,"Rich & Sad","Post Malone",889218,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
15,"Yes Indeed","Lil Baby",863894,https://open.spotify.com/track/1wsf1YFQSYND45y0GzJmf7
16,"Plug Walk","Rich The Kid",859686,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
17,"Ball For Me (feat. Nicki Minaj)","Post Malone",849769,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
18,OTW,Khalid,840770,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
19,"Walk It Talk It",Migos,834207,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
20,KOD,"J. Cole",819444,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
21,SAD!,XXXTENTACION,817570,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
22,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",786305,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
23,JAPAN,"Famous Dex",759058,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
24,"Ric Flair Drip (& Metro Boomin)",Offset,750513,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
25,"Candy Paint","Post Malone",733150,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
26,"Call Out My Name","The Weeknd",722229,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
27,"Over Now","Post Malone",706908,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
28,"Love Lies (with Normani)",Khalid,687438,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
29,"One Kiss (with Dua Lipa)","Calvin Harris",685290,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
30,"Zack And Codeine","Post Malone",685061,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
31,"Freaky Friday (feat. Chris Brown)","Lil Dicky",684070,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
32,"92 Explorer","Post Malone",672629,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
33,"The Middle",Zedd,649307,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
34,"Playinwitme (feat. Kehlani)",KYLE,645808,https://open.spotify.com/track/43cFjTTCD9Cni4aSL0sORz
35,"Takin' Shots","Post Malone",634945,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
36,"Same Bitches (feat. G-Eazy & YG)","Post Malone",628578,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
37,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",626421,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
38,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",614611,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
39,"I Fall Apart","Post Malone",614017,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
40,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",604153,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
41,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",582172,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
42,FRIENDS,Marshmello,579441,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
43,"All The Stars (with SZA)","Kendrick Lamar",562425,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
44,"Lucid Dreams","Juice WRLD",548739,https://open.spotify.com/track/32iYwQ4OYiurnGnOfJ1aEh
45,Mine,Bazzi,545417,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
46,Otherside,"Post Malone",541073,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
47,"Be Careful","Cardi B",514630,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
48,"Kevin’s Heart","J. Cole",509797,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
49,Youngblood,"5 Seconds of Summer",508143,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
50,"Blame It On Me","Post Malone",507258,https://open.spotify.com/track/1ZemPoaj7LBj1RAQrb89EC
51,Moonlight,XXXTENTACION,504446,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
52,"All Girls Are The Same","Juice WRLD",503026,https://open.spotify.com/track/1dNyRyz1QBN9kO1etUs1PI
53,"Stir Fry",Migos,496996,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
54,"lovely (with Khalid)","Billie Eilish",462732,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
55,"XO TOUR Llif3","Lil Uzi Vert",462126,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
56,"Te Boté - Remix","Nio Garcia",456420,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
57,"Youth (feat. Khalid)","Shawn Mendes",445608,https://open.spotify.com/track/3Wf2YGdYT8xVdNsQSoRKk9
58,"Sugar Wraith","Post Malone",443280,https://open.spotify.com/track/0MrRAUcB8AZiB9ue2VOBYe
59,ATM,"J. Cole",438492,https://open.spotify.com/track/2UciqgwVDwro0fev3MFbxJ
60,"Jettski Grizzley (feat. Lil Pump)","Tee Grizzley",423751,https://open.spotify.com/track/2VKf0WEOpq06JE5PTNr9wa
61,Heaven,"Kane Brown",423374,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
62,Chun-Li,"Nicki Minaj",420740,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
63,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",419821,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
64,"Red Roses (feat. Landon Cube)","Lil Skies",419610,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
65,Motiv8,"J. Cole",418058,https://open.spotify.com/track/1AT4xjNarTswd0UZ5FlmKF
66,"In My Blood","Shawn Mendes",396979,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
67,HUMBLE.,"Kendrick Lamar",394819,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
68,Nevermind,"Dennis Lloyd",389682,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
69,Esskeetit,"Lil Pump",387268,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
70,Congratulations,"Post Malone",386294,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
71,Somebody,"The Chainsmokers",378406,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
72,"1985 - Intro to “The Fall Off”","J. Cole",375418,https://open.spotify.com/track/7EulRO07ZgchxqKUHb8Pvc
73,"Jocelyn Flores",XXXTENTACION,370556,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
74,1942,G-Eazy,369612,https://open.spotify.com/track/794QVQtFNy7hvtjQP1keQd
75,"Young Dumb & Broke",Khalid,361498,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
76,"Nowadays (feat. Landon Cube)","Lil Skies",358994,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
77,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",354689,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
78,"Remind Me to Forget",Kygo,354151,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
79,"Pray For Me (with Kendrick Lamar)","The Weeknd",349721,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
80,goosebumps,"Travis Scott",349088,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
81,"Bank Account","21 Savage",348815,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
82,"Clout (feat. 21 Savage)","Ty Dolla $ign",342153,https://open.spotify.com/track/1u0CD4fcBUB1xrG9fNgejh
83,Redbone,"Childish Gambino",341519,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
84,changes,XXXTENTACION,339903,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
85,"Outside Today","YoungBoy Never Broke Again",336581,https://open.spotify.com/track/5PIfH6BzcmH04RDmtzF0BN
86,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",334439,https://open.spotify.com/track/0eHCArTPhwUxatY7cEXRiK
87,"Plain Jane","A$AP Ferg",334220,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
88,Location,Khalid,332027,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
89,Havana,"Camila Cabello",331989,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
90,"Bounce Out With That","YBN Nahmir",331941,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
91,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,331009,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
92,"You Make It Easy","Jason Aldean",330889,https://open.spotify.com/track/6EGAfJaLUFzhS4zRBIEQ2J
93,"LOVE. FEAT. ZACARI.","Kendrick Lamar",328154,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
94,"Marry Me","Thomas Rhett",325169,https://open.spotify.com/track/0OWZFobGSIW9GrSlQ9C5pc
95,Delicate,"Taylor Swift",323039,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
96,X,"Nicky Jam",322765,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
97,Everyday,Logic,321425,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
98,"Never Be the Same","Camila Cabello",316085,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
99,"Bartier Cardi (feat. 21 Savage)","Cardi B",314580,https://open.spotify.com/track/0dIoGTQXDh1wVnhIiSyYEa
100,"2 Vaults (feat. Lil Yachty)","Tee Grizzley",312306,https://open.spotify.com/track/5Zx9VpLotu9aFYqq61NAip
101,"BUTTERFLY EFFECT","Travis Scott",309600,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
102,Tequila,"Dan + Shay",308592,https://open.spotify.com/track/7Il2yWQmsqKgSkLQvHTPUI
103,Betrayed,"Lil Xan",308550,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug
104,"Bodak Yellow","Cardi B",307689,https://open.spotify.com/track/6KBYefIoo7KydImq1uUQlL
105,Photograph,"J. Cole",306869,https://open.spotify.com/track/0bhnUFDQFCEHCBlsQfHnj5
