,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,9552389,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"Girls Like You (feat. Cardi B)","Maroon 5",3909133,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
3,"I Like It","Cardi B",3897332,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
4,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3785840,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
5,"Lucid Dreams","Juice WRLD",3578564,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"Taste (feat. Offset)",Tyga,3576015,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
7,"God is a woman","Ariana Grande",3544000,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
8,"Solo (feat. Demi Lovato)","Clean Bandit",3425481,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
9,SAD!,XXXTENTACION,3392548,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,"One Kiss (with Dua Lipa)","Calvin Harris",3188471,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
11,"Better Now","Post Malone",3145355,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
12,Rise,"Jonas Blue",3084279,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
13,"Jackie Chan",Tiësto,3048136,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
14,Youngblood,"5 Seconds of Summer",2930261,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
15,"Don’t Matter To Me (with Michael Jackson)",Drake,2890880,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
16,"Eastside (with Halsey & Khalid)","benny blanco",2533448,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
17,Nonstop,Drake,2419571,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
18,Moonlight,XXXTENTACION,2402297,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
19,"Te Boté - Remix","Nio Garcia",2387462,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
20,"God's Plan",Drake,2270955,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
21,"Ocean (feat. Khalid)","Martin Garrix",2229811,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
22,Body,"Loud Luxury",2178341,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
23,"Nice For What",Drake,2145889,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
24,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",2138626,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
25,"Sin Pijama","Becky G",2078954,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
26,2002,Anne-Marie,2009520,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
27,"Born To Be Yours",Kygo,1911834,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
28,"no tears left to cry","Ariana Grande",1902051,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
29,Nevermind,"Dennis Lloyd",1779685,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
30,"In My Mind",Dynoro,1768084,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
31,changes,XXXTENTACION,1737737,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
32,"Jocelyn Flores",XXXTENTACION,1710405,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
33,"No Es Justo","J Balvin",1661011,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
34,"Summertime Magic","Childish Gambino",1644791,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
35,"Psycho (feat. Ty Dolla $ign)","Post Malone",1639450,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
36,"X - Remix","Nicky Jam",1631544,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
37,"Vaina Loca",Ozuna,1614157,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
38,"rockstar (feat. 21 Savage)","Post Malone",1588038,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
39,"Praise The Lord (Da Shine)","A$AP Rocky",1582266,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
40,X,"Nicky Jam",1575671,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
41,"Bed (feat. Ariana Grande)","Nicki Minaj",1573084,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
42,"La Cintura","Alvaro Soler",1508424,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
43,FRIENDS,Marshmello,1500590,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
44,Flames,"David Guetta",1461570,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
45,"The Middle",Zedd,1443284,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
46,"I'm Upset",Drake,1432860,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
47,"Yes Indeed","Lil Baby",1408893,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
48,"lovely (with Khalid)","Billie Eilish",1352047,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
49,"Me Niego",Reik,1320880,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
50,Clandestino,Shakira,1320210,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
51,"Shape of You","Ed Sheeran",1314299,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
52,APESHIT,"The Carters",1264012,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
53,Natural,"Imagine Dragons",1256596,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
54,"Look Alive (feat. Drake)","BlocBoy JB",1205728,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
55,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",1187625,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
56,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,1182194,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
57,"Mob Ties",Drake,1178476,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
58,IDGAF,"Dua Lipa",1165243,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
59,"High Hopes","Panic! At The Disco",1130346,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
60,"Mi Cama","Karol G",1109897,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
61,Havana,"Camila Cabello",1096570,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
62,"La Player (Bandolera)","Zion & Lennox",1065212,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
63,"New Rules","Dua Lipa",1042461,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
64,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1036350,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
65,"Love Lies (with Normani)",Khalid,1035656,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
66,"Playinwitme (feat. Kehlani)",KYLE,1035015,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
67,"I'm a Mess","Bebe Rexha",1025570,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
68,"Happy Now",Zedd,1023125,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
69,"I Might Need Security","Chance the Rapper",1022910,https://open.spotify.com/track/3EApebexZ7YqDIqw2EMTDh
70,"you should see me in a crown","Billie Eilish",1017272,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
71,"If You're Over Me","Years & Years",1006400,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
72,Believer,"Imagine Dragons",997189,https://open.spotify.com/track/5VKSZDsidOFHrtlJb33Syo
73,"Dura - Remix","Daddy Yankee",988074,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
74,"Only You (with Little Mix)","Cheat Codes",985766,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
75,Unica,Ozuna,984951,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
76,"Everybody Dies In Their Nightmares",XXXTENTACION,974171,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
77,Shotgun,"George Ezra",973476,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
78,Connection,OneRepublic,968646,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
79,"Boo'd Up","Ella Mai",965661,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
80,"All Girls Are The Same","Juice WRLD",959594,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
81,Thunder,"Imagine Dragons",945343,https://open.spotify.com/track/7BrsBU0BAytRDvROM4yCbn
82,Perfect,"Ed Sheeran",937440,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
83,"Madura (feat. Bad Bunny)",Cosculluela,922143,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
84,Mine,Bazzi,917836,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
85,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",916605,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
86,"Look At Me!",XXXTENTACION,915865,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
87,"Por Perro","Sebastian Yatra",909952,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
88,"Estamos Bien","Bad Bunny",892929,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
89,Asesina,Brytiago,889883,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK
90,OTW,Khalid,886136,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
91,"In My Blood","Shawn Mendes",876336,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
92,"This Is America","Childish Gambino",875986,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
93,"Ball For Me (feat. Nicki Minaj)","Post Malone",866776,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
94,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",851787,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
95,"Audio - with Sia, Diplo & Labrinth",Sia,845158,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
96,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,837795,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
97,"I Fall Apart","Post Malone",833536,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
98,"Plug Walk","Rich The Kid",832537,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
99,"All Mine","Kanye West",830189,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
100,"XO TOUR Llif3","Lil Uzi Vert",825531,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
101,Calypso,"Luis Fonsi",818092,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
102,"All The Stars (with SZA)","Kendrick Lamar",793757,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
103,Familiar,"Liam Payne",791983,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
104,"Bella - Remix",Wolfine,789084,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
105,"Call Out My Name","The Weeknd",783794,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
106,"Freaky Friday (feat. Chris Brown)","Lil Dicky",772834,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
107,Happier,"Ed Sheeran",772735,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
108,Lie,NF,770092,https://open.spotify.com/track/07FkzikE6FuHIa8Ma7zJGc
109,"Be Alright","Dean Lewis",759350,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
110,"Too Good At Goodbyes","Sam Smith",758368,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
111,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",744216,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
112,"Walk It Talk It",Migos,743626,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
113,Emotionless,Drake,736827,https://open.spotify.com/track/5Psnhdkyanjpgc2P8A5TSM
114,Dura,"Daddy Yankee",732883,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
115,"I'll Be There","Jess Glynne",729501,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
116,"Síguelo Bailando",Ozuna,727390,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
117,"ocean eyes","Billie Eilish",727150,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
118,"Remind Me to Forget",Kygo,726534,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
