,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,1854212,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"SICKO MODE","Travis Scott",1827242,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1654800,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Lucid Dreams","Juice WRLD",1468877,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,STARGAZING,"Travis Scott",1167765,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
6,SAD!,XXXTENTACION,1095419,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"No Brainer","DJ Khaled",1055720,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
8,Nonstop,Drake,1022209,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
9,"Taste (feat. Offset)",Tyga,1020752,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
10,"Eastside (with Halsey & Khalid)","benny blanco",984306,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
11,"I Like It","Cardi B",952914,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,"Better Now","Post Malone",945178,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
13,Moonlight,XXXTENTACION,933789,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
14,"Girls Like You (feat. Cardi B)","Maroon 5",846881,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
15,"Yes Indeed","Lil Baby",824795,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
16,"Taking A Walk","Trippie Redd",814659,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
17,"Barbie Dreams","Nicki Minaj",707030,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
18,"God is a woman","Ariana Grande",681424,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
