,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All Mine","Kanye West",2757615,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
2,"Ghost Town","Kanye West",2412091,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
3,Yikes,"Kanye West",2386030,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
4,"Wouldn't Leave","Kanye West",1938367,https://open.spotify.com/track/3dG6tjetoR4GMmUGZUprLt
5,"I Thought About Killing You","Kanye West",1861739,https://open.spotify.com/track/6EuE9M1viu9gkdFSafia9o
6,"Violent Crimes","Kanye West",1751244,https://open.spotify.com/track/2VYb3Fb5iK5Y8HGZ8oEEkp
7,"No Mistakes","Kanye West",1698076,https://open.spotify.com/track/1DdgqEZk4Hqfpl3drdXJun
8,"Nice For What",Drake,1556118,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
9,"Lucid Dreams","Juice WRLD",1500248,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
10,"Yes Indeed","Lil Baby",1459061,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
11,"Better Now","Post Malone",1291393,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
12,"I Like It","Cardi B",1199399,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
13,"God's Plan",Drake,1166772,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
14,"This Is America","Childish Gambino",1134079,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
15,"Psycho (feat. Ty Dolla $ign)","Post Malone",1129645,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
16,"I'm Upset",Drake,1092110,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
17,"Look Alive (feat. Drake)","BlocBoy JB",972002,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
18,"rockstar (feat. 21 Savage)","Post Malone",797070,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
19,"All Girls Are The Same","Juice WRLD",750218,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
20,"Taste (feat. Offset)",Tyga,749512,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
21,"Plug Walk","Rich The Kid",722982,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
22,"Ric Flair Drip (& Metro Boomin)",Offset,713087,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
23,SAD!,XXXTENTACION,703313,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
24,"Back To You","Selena Gomez",695669,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
25,"no tears left to cry","Ariana Grande",691115,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
26,"Walk It Talk It",Migos,684406,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
27,"Praise The Lord (Da Shine)","A$AP Rocky",683702,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
28,"Girls Like You (feat. Cardi B)","Maroon 5",670654,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
29,"Ball For Me (feat. Nicki Minaj)","Post Malone",664808,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
30,"Playinwitme (feat. Kehlani)",KYLE,647464,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
31,Paranoid,"Post Malone",632821,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
