,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lucid Dreams","Juice WRLD",1698070,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
2,"All Mine","Kanye West",1450041,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
3,"Nice For What",Drake,1407298,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
4,"Yes Indeed","Lil Baby",1339090,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
5,"Better Now","Post Malone",1335536,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"I Like It","Cardi B",1300509,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
7,Reborn,"KIDS SEE GHOSTS",1257586,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
8,"Feel The Love","KIDS SEE GHOSTS",1144115,https://open.spotify.com/track/3aUFrxO1B8EW63QchEl3wX
9,"Freeee (Ghost Town Pt. 2)","KIDS SEE GHOSTS",1117323,https://open.spotify.com/track/7GRTrWsP3yo2Fx8umJfA1X
10,"4th Dimension","KIDS SEE GHOSTS",1110220,https://open.spotify.com/track/6JyEh4kl9DLwmSAoNDRn5b
11,"Psycho (feat. Ty Dolla $ign)","Post Malone",1076041,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
12,"God's Plan",Drake,1018807,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
13,"Girls Like You (feat. Cardi B)","Maroon 5",998535,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
14,Fire,"KIDS SEE GHOSTS",981233,https://open.spotify.com/track/7oHkit3F3vimtsBbnZkU0G
15,"I'm Upset",Drake,959093,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
16,"Ghost Town","Kanye West",948834,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
17,"This Is America","Childish Gambino",936919,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
18,Yikes,"Kanye West",925847,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
19,"Look Alive (feat. Drake)","BlocBoy JB",891588,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
20,"Kids See Ghosts","KIDS SEE GHOSTS",891070,https://open.spotify.com/track/2I3dW2dCBZAJGj5X21E53k
21,"Cudi Montage","KIDS SEE GHOSTS",873982,https://open.spotify.com/track/4kUZvXB3LC3an3HX6h0s17
22,"Taste (feat. Offset)",Tyga,848413,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
23,"Back To You","Selena Gomez",797327,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
24,"All Girls Are The Same","Juice WRLD",778527,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
25,"rockstar (feat. 21 Savage)","Post Malone",768656,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
26,"Praise The Lord (Da Shine)","A$AP Rocky",763167,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
27,SAD!,XXXTENTACION,702478,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
28,"no tears left to cry","Ariana Grande",698125,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
29,"Plug Walk","Rich The Kid",677628,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
30,"Ric Flair Drip (& Metro Boomin)",Offset,659090,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
31,"lovely (with Khalid)","Billie Eilish",653117,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
